bugid	bug	buggy	patch	lineNo	action
16	bears_135	buggy:  if  (beginIndex  >  0)  {  if  (endIndex  >  0)  {  context:  if  (buffer.getByte(guessedIndex  +  4)  ==  ','  &&  isLetter(buffer.getByte(guessedIndex  +  1))  &&  isLetter(buffer.getByte(guessedIndex  +  2))  &&  isLetter(buffer.getByte(guessedIndex  +  3)))  {  return  true;  }  return  false;  }  });      if  (beginIndex  >  0)  {  buf.readerIndex(beginIndex);  int  endIndex  =  buf.indexOf(beginIndex,  buf.writerIndex(),  (byte)  '\n');      if  (endIndex  >  0)  {  ChannelBuffer  frame  =  buf.readBytes(endIndex  -  beginIndex);  	if  (beginIndex  >=  0)  {  if  (endIndex  >=  0)  {  	50	replace-2
244	bears_49	buggy:  res.setType(getFactory().Type().createArrayReference(getFactory().Type().createReference(values[0].getClass())));  context:  }  return  this.addValueExpression(elementName,  convertValueToExpression(value));  }  private  CtExpression  convertValueToExpression(Object  value)  {  CtExpression  res;  if  (value.getClass().isArray())  {  res  =  getFactory().Core().createNewArray();  Object[]  values  =  (Object[])  value;  res.setType(getFactory().Type().createArrayReference(getFactory().Type().createReference(values[0].getClass())));  for  (Object  o  :  values)  {  ((CtNewArray)  res).addElement(convertValueToExpression(o));  }  }  else  if  (value  instanceof  Collection)  {  res  =  getFactory().Core().createNewArray();  Collection  values  =  (Collection)  value;  	  res.setType(getFactory().Type().createArrayReference(getFactory().Type().createReference(value.getClass().getComponentType())));  	113	replace-1
93	bears_162	buggy:  context:  }  else  {  if  (dataType.length()  >  -1)  column.length((int)  dataType.length());  if  (dataType.scale()  >  -1)  column.scale(dataType.scale());  }  if  (Types.NCHAR  ==  dataType.jdbcType()  ||  Types.NVARCHAR  ==  dataType.jdbcType())  {  column.charsetName( "utf8 ");  }  if  (tokens.canConsume( "CHARSET ")  ||  tokens.canConsume( "CHARACTER ",   "SET "))  {  	if  (Types.DECIMAL  ==  dataType.jdbcType())  {  if  (dataType.length()  ==  -1)  {  column.length(10);  }  if  (dataType.scale()  ==  -1)  {  column.scale(0);  }  }    	837	add
135	bears_174	buggy:  String[]  postgreSqlMrefIds  =  (String[])  arrayValue.getArray();  String  mrefIdStr  =  postgreSqlMrefIds[i];  Object  mrefId  =  mrefIdStr  !=  null  ?  convertMrefIdValue(mrefIdStr,  idAttr)  :  null;  context:  private  Object  mapValueOneToMany(Array  arrayValue,  Attribute  attr)  throws  SQLException  {  EntityType  entityType  =  attr.getRefEntity();  Object  value;  String[]  postgreSqlMrefIds  =  (String[])  arrayValue.getArray();  if  (postgreSqlMrefIds.length  >  0  &&  postgreSqlMrefIds[0]  !=  null)  {  Attribute  idAttr  =  entityType.getIdAttribute();  Object[]  mrefIds  =  new  Object[postgreSqlMrefIds.length];  for  (int  i  =  0;  i  <  postgreSqlMrefIds.length;  ++i)  {  String  mrefIdStr  =  postgreSqlMrefIds[i];  Object  mrefId  =  mrefIdStr  !=  null  ?  convertMrefIdValue(mrefIdStr,  idAttr)  :  null;  	Object[]  postgreSqlMrefIds  =  (Object[])  arrayValue.getArray();  Object  mrefIdRaw  =  postgreSqlMrefIds[i];  Object  mrefId  =  mrefIdRaw  !=  null  ?  convertMrefIdValue(mrefIdRaw.toString(),  idAttr)  :  null;  	195	replace-3
26	bears_123	buggy:  if  (deviceState.getMotionPosition()  !=  null  &&  startEventIndex  ==  -1  &&  trips  !=  deviceState.getMotionState())  {  if  (trips  ==  deviceState.getMotionState())  {  if  (startNoEventIndex  ==  -1)  {  startNoEventIndex  =  i;  }  else  if  (deviceState.getMotionPosition()  ==  null)  {  startNoEventIndex  =  -1;  }  context:  if  (positions  !=  null  &&  !positions.isEmpty())  {  boolean  trips  =  reportClass.equals(TripReport.class);  MotionEventHandler  motionHandler  =  new  MotionEventHandler(tripsConfig);  DeviceState  deviceState  =  new  DeviceState();  deviceState.setMotionState(isMoving(positions,  0,  tripsConfig,  speedThreshold));  int  startEventIndex  =  trips  ==  deviceState.getMotionState()  ?  0  :  -1;  int  startNoEventIndex  =  -1;  for  (int  i  =  0;  i  <  positions.size();  i++)  {  Map<Event,  Position>  event  =  motionHandler.updateMotionState(deviceState,  positions.get(i),  isMoving(positions,  i,  tripsConfig,  speedThreshold));      if  (deviceState.getMotionPosition()  !=  null  &&  startEventIndex  ==  -1          &&  trips  !=  deviceState.getMotionState())  {  startEventIndex  =  i;  startNoEventIndex  =  -1;  	if  (startEventIndex  ==  -1  &&  (trips  !=  deviceState.getMotionState()  &&  deviceState.getMotionPosition()  !=  null  ||  trips  ==  deviceState.getMotionState()  &&  event  !=  null))  {  }  else  if  (trips  !=  deviceState.getMotionState()  &&  startEventIndex  !=  -1  &&  deviceState.getMotionPosition()  ==  null  &&  event  ==  null)  {  startEventIndex  =  -1;  if  (startNoEventIndex  ==  -1  &&  (trips  ==  deviceState.getMotionState()  &&  deviceState.getMotionPosition()  !=  null  ||  trips  !=  deviceState.getMotionState()  &&  event  !=  null))  {  startNoEventIndex  =  i;  }  else  if  (startNoEventIndex  !=  -1  &&  deviceState.getMotionPosition()  ==  null  &&  event  ==  null)  {  startNoEventIndex  =  -1;  	287	replace-8
210	bears_73	buggy:  if  (Launcher.LOGGER.isTraceEnabled())  {  Launcher.LOGGER.trace(e);  context:  private  class  OutputFunctionWrapper  extends  AbstractStep  {  public  void  accept(Object  element)  {  if  (element  ==  null  ||  isTerminated())  {  return;  }  try  {  nextStep.accept(element);  }  catch  (ClassCastException  e)  {  if  (Launcher.LOGGER.isTraceEnabled())  {  //log  expected  CCE  ...  there  might  be  some  unexpected  too!  Launcher.LOGGER.trace(e);  	StackTraceElement[]  stackEles  =  e.getStackTrace();  if  (stackEles.length  >  1  &&  stackEles[0].getClassName().equals(getClass().getName())  &&  stackEles[0].getMethodName().equals( "accept "))  {  if  (Launcher.LOGGER.isTraceEnabled())  {  Launcher.LOGGER.trace(e);  }  }  else  {  throw  new  SpoonException( "Execution  of  query  callback  failed ",  e);  	342	replace-2
165	bears_24	buggy:  if  (_referencedType  ==  null)  {  return  (o.getClass()  ==  getClass()  &&  _referencedType.equals(((ResolvedRecursiveType)  o).getSelfReferencedType()));  context:  sb.append(_referencedType.getRawClass().getName());  }  return  sb.toString();  }  public  boolean  equals(Object  o)  {  if  (o  ==  this)  return  true;  if  (o  ==  null)  return  false;      //  Do  NOT  ever  match  unresolved  references      if  (_referencedType  ==  null)  {  return  false;  	if  (o.getClass()  ==  getClass())  {      if  (_referencedType  ==  null)  {  return  false;  }  return  (o.getClass()  ==  getClass()  &&  _referencedType.equals(((ResolvedRecursiveType)  o).getSelfReferencedType()));  return  false;  	115	replace-3
98	bears_226	buggy:  @JsonTypeInfo(use  =  JsonTypeInfo.Id.NAME,  include  =  JsonTypeInfo.As.PROPERTY,  property  =   "type ",  defaultImpl  =  KAlignerParameters.class)  @JsonSubTypes({@JsonSubTypes.Type(value  =  KAlignerParameters.class,  name  =   "kaligner "),  @JsonSubTypes.Type(value  =  KAlignerParameters2.class,  name  =   "kaligner2 ")})  context:  getterVisibility  =  JsonAutoDetect.Visibility.NONE)  @JsonTypeInfo(use  =  JsonTypeInfo.Id.NAME,  include  =  JsonTypeInfo.As.PROPERTY,  property  =   "type ",  defaultImpl  =  KAlignerParameters.class)  @JsonSubTypes({@JsonSubTypes.Type(value  =  KAlignerParameters.class,  name  =   "kaligner "),      @JsonSubTypes.Type(value  =  KAlignerParameters2.class,  name  =   "kaligner2 ")})  public  interface  BatchAlignerWithBaseParameters  {  	@JsonTypeInfo(use  =  JsonTypeInfo.Id.NAME,  include  =  JsonTypeInfo.As.PROPERTY,  property  =   "type ")  @JsonSubTypes({  @JsonSubTypes.Type(value  =  KAlignerParameters.class,  name  =   "kaligner "),  @JsonSubTypes.Type(value  =  KAlignerParameters2.class,  name  =   "kaligner2 ")  })  	33	replace-3
192	bears_32	buggy:  return  getStep().isFailOnCCE();  context:  return   "outputConsumer ";  }  String  name  =  stepFunction.getName();  if  (name  ==  null)  {  name  =  String.valueOf(stepIdx);  }  return  name;  }  private  boolean  isFailOnCCE()  {  return  getStep().isFailOnCCE();  }  private  AbstractStep  getStep()  {  	AbstractStep  step  =  getStep();  if  (step  ==  null)  {  return  false;  }  return  step.isFailOnCCE();  	282	replace-1
222	bears_65	buggy:  public  void  visitAnnotation(Annotation  annotation)  {  enter(new  AnnotationRuntimeBuilderContext(ctAnnotation));  context:  ctAnnotationType.addField(field);  }  });  super.visitAnnotationClass(clazz);  exit();  contexts.peek().addType(ctAnnotationType);  }  public  void  visitAnnotation(Annotation  annotation)  {  final  CtAnnotation<Annotation>  ctAnnotation  =  factory.Core().createAnnotation();  enter(new  AnnotationRuntimeBuilderContext(ctAnnotation));  	public  void  visitAnnotation(final  Annotation  annotation)  {  enter(new  AnnotationRuntimeBuilderContext(ctAnnotation)  {  @Override  public  void  addMethod(CtMethod  ctMethod)  {  try  {  Object  value  =  annotation.getClass().getMethod(ctMethod.getSimpleName()).invoke(annotation);  ctAnnotation.addValue(ctMethod.getSimpleName(),  value);  }  catch  (Exception  ignore)  {  ctAnnotation.addValue(ctMethod.getSimpleName(),   " ");  }  }  });  	220	replace-2
