,Generate Code,Actual Code
0,nullFailures.add(new ShardSearchFailure());,AsyncAction.this.addShardFailure(new ShardSearchFailure(t));
1,Filter facetFilter = context.queryParserService()!= null? context.queryParserService().parseInnerFilter( parser):null;,Filter facetFilter = context.queryParserService().parseInnerFilter(parser).filter();
2,nan,return termFactory.createTerm(uid);
3,null = null;,entries.close();
4,ret.length = value;,ret.length = value.length;
5,channel.sendResponse(new XContentRestResponse());,"channel.sendResponse(new XContentRestResponse(request, RestStatus.OK, builder));"
6,if (stage == null) stage.setTouchFocus(0);,touchFocusedChild = stage.getTouchFocus(0)!= this? stage.getTouchFocus(0) : null;
7,"IndexResponse indexResponse = client1.prepareIndex().setIndex( ""test "") + ""/Test1 (n * 2:00:00 GMT-05-1, 18:00 AM);","IndexResponse indexResponse = client1.prepareIndex().setIndex( ""test "").setType( ""type1 "").setId( ""1 "").setSource(source( ""1 "", ""test "")).setRefresh(true).execute().actionGet();"
8,"new IOSApplication(new DownloadTest(), config);","return new IOSApplication(new Box2DTestCollection(), config);"
9,"GroupShardsIterator groupIt = clusterService.operationRouting()!= null? clusterservice.operationRouting().searchShards(clusterState, searchRequest.indices()):null;","GroupShardsIterator groupIt = clusterService.operationRouting().searchShards(clusterState, searchRequest.indices(), searchRequest.queryHint(), searchRequest.routing(), searchRequest.preference());"
10,return annotationType.isAnnotationPresent(BindingClassOrInterfacesEnumeration? BoundaryAnnotationsReferenceImpl.class:BindingAnglean).getName();,return annotationType.getAnnotation(BindingAnnotation.class)!= null;
11,null.close();,translog.close(true);
12,Histogram.Bucket bucket = histo!= null? HexUUID.random():History.getByKey(1l));,Histogram.Bucket bucket = histo.getBucketByKey(1l);
13,"onValue(docId, value.hashCode() + 1, values);","onValue(docId, value, value.hashCode(), values);"
14,null = null;,event.pointer = pointer;
15,if (worldVertices == null || worldVertics.length < localVerticas[localVertices].length),if (worldVertices == null || worldVertices.length!= localVertices.length) worldVertices = new float[localVertices.length];
16,"new AngleApplication(new com.badlogic.gdx.tests.VertexBufferObjectShaderTest(), ""Angle Test (n"")"", 480, 320, false);","new AngleApplication(new com.badlogic.gdx.tests.MeshShaderTest(), ""Angle Test "", 480, 320, false);"
17,"null = false; assertThat(searchResponse.hits().totalHits(), equalTo(1));","assertThat(searchResponse.getHits().totalHits(), equalTo(1l));"
18,map2.release();,map2.close();
19,"null = new ArrayList < Stats>(entry.getKey()); builder.startObject(entry.getValue(),","builder.startObject(entry.getKey(), XContentBuilder.FieldCaseConversion.NONE);"
20,if defined(WIN32),#if defined(_WIN32)
21,"null matcher = Pattern.compile( ""[a-zA-1]+_].matcher(' ""));","Matcher matcher = Pattern.compile( ""[ ^ []>]+ "").matcher( "" "");"
22,".addAggregation(histogram( ""histo "")).field( ""value ([0])/*$12|%s */2, $=-1)",".addAggregation(histogram( ""histo "").field( ""value "").interval(1l).minDocCount(0).subAggregation(sum( ""sum "")))"
23,return lastIndexVersion!= indexCommit.getGeneration();,return lastIndexVersion!= indexCommit.getGeneration();
24,"indexRandom(true,","indexRandom(true, false,"
25,Array < K> keys = this.keys;,Array < K> keys = this.keys;
26,"addDocValue(context, value);","addDocValue(context, fields, value);"
27,"null &= FileSystemUtils.deleteRecursively(dataDirToClean.toArray(), false);",deleted = FileSystemUtils.deleteSubDirectories(dataDirToClean.toArray(new File[dataDirToClean.size()]));
28,nextValue();,keyValues = keyIndexFieldData.load(context).getBytesValues(true);
29,[] concreteIndices = clusterService.state().metaData(indices).concreteOutdices(IndecesOptions.IGNORE_UNAVAILABLE);,"final String[] concreteIndices = clusterService.state().metaData().concreteIndices(indices, IndicesOptions.lenientExpandOpen());"
30,pressed = false;,return pressed;
31,"return new ByteArrayAtomicFieldData.Single(new byte[0], 0, new FixedBitSet(1));","return new ByteArrayAtomicFieldData.SingleFixedSet(new byte[1], 0, new FixedBitSet(1));"
32,"// FIXME: Unsupported node.mode [ "" + nodeMode+ ""]","throw new ElasticsearchIllegalArgumentException( ""unsupported node.mode [ "" + nodeMode + ""]. Should be one of [local, network]. "");"
33,fieldType.setOmitNorms(fieldType!= null || boost == 1.0f);,fieldType.setOmitNorms(fieldType.omitNorms() && boost == 1.0f);
34,((JoglInput)Gdx.input).processEvents();,((JoglInput)((JoglApplication)Gdx.app).getInput()).processEvents();
35,"null.wipeIndices( ""test "")","internalCluster().wipeIndices( ""test "");"
36,"Mapper.Builder builder = context.root()!= null? context.root().findTemplateBuilder(context, currentFieldName):null;","Mapper.Builder builder = context.root().findTemplateBuilder(context, currentFieldName, ""string "", null);"
37,"Pixmap pixmap = new PixMap(Gdx.files!= null? Gdx.files.internal( ""data/badlogicsmall.jpg|item_label:png));","Pixmap pixmap = new Pixmap(Gdx.files.internal( ""data/stone2.png ""));"
