18	return a.charAt(0) + longest_common_subsequence(a.substring(1), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(longest_common_subsequence(a.substring(1), b));	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	if (a.length() > 0) return a.charAt(0) + longest_common_subsequence(a.substring(1), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	if (a.length() > 0) { return a.charAt(0) + longest_common_subsequence(a.substring(1), b); }	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	if (a.length() > b.length()) return a.charAt(0) + longest_common_subsequence(a.substring(1), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(longest_common_subsequence(a.substring(1), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.toLowerCase());	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(a.substring(0, b));	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	char char = longest_common_subsequence(a.substring(1), b); return a.charAt(0) + char.charAt(0);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(1) + longest_common_subsequence(a.substring(1), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	if (a.isEmpty()) { return a.charAt(0) + longest_common_subsequence(a.substring(1), b); }	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
18	return a.charAt(0) + longest_common_subsequence(a.substring(2), b);	return a.charAt(0) + longest_common_subsequence(a.substring(1), b.substring(1));
