bugid	bug	buggy	patch	lineNo	action
198	Closure_132	buggy:    !mayEffectMutableState(lhs))    {    context:    Node    elseOp    =    getBlockExpression(elseBranch).getFirstChild();    if    (thenOp.getType()    ==    elseOp.getType())    {    if    (NodeUtil.isAssignmentOp(thenOp))    {    Node    lhs    =    thenOp.getFirstChild();    if    (areNodesEqualForInlining(lhs,    elseOp.getFirstChild())    &&                !mayEffectMutableState(lhs))    {    n.removeChild(cond);    Node    assignName    =    thenOp.removeFirstChild();    Node    thenExpr    =    thenOp.removeFirstChild();    Node    elseExpr    =    elseOp.getLastChild();    elseOp.removeChild(elseExpr);    	!mayEffectMutableState(lhs)    &&    (!mayHaveSideEffects(cond)    ||    (thenOp.isAssign()    &&    thenOp.getFirstChild().isName())))    {    	782	replace
745	Math_80	buggy:    int    j    =    4    *    n    -    1;    context:    private    boolean    flipIfWarranted(final    int    n,    final    int    step)    {    if    (1.5    *    work[pingPong]    <    work[4    *    (n    -    1)    +    pingPong])    {            int    j    =    4    *    n    -    1;    for    (int    i    =    0;    i    <    j;    i    +=    4)    {    for    (int    k    =    0;    k    <    4;    k    +=    step)    {    final    double    tmp    =    work[i    +    k];    work[i    +    k]    =    work[j    -    k];    work[j    -    k]    =    tmp;    }    j    -=    4;    }    	int    j    =    4    *    (n    -    1);    	1135	replace
697	Math_32	buggy:    if    ((Boolean)    tree.getAttribute())    {    context:    }    protected    void    computeGeometricalProperties()    {    final    Vector2D[][]    v    =    getVertices();    if    (v.length    ==    0)    {    final    BSPTree<Euclidean2D>    tree    =    getTree(false);            if    ((Boolean)    tree.getAttribute())    {    setSize(Double.POSITIVE_INFINITY);    setBarycenter(Vector2D.NaN);    }    else    {    setSize(0);    setBarycenter(new    Vector2D(0,    0));    }    }    else    if    (v[0][0]    ==    null)    {    	if    (tree.getCut()    ==    null    &&    (Boolean)    tree.getAttribute())    {    	136	replace
766	Math_101	buggy:    if    (    context:    pos.setIndex(initialIndex);    return    null;    }    int    n    =    getImaginaryCharacter().length();    startIndex    =    pos.getIndex();    int    endIndex    =    startIndex    +    n;            if    (    source.substring(startIndex,    endIndex).compareTo(    getImaginaryCharacter())    !=    0)    {    pos.setIndex(initialIndex);    pos.setErrorIndex(startIndex);    return    null;    	if    ((startIndex    >=    source.length())    ||    (endIndex    >    source.length())    ||    	377	replace
670	Math_5	buggy:    return    NaN;    context:    public static final Complex  NaN   INF   ONE   ZERO   public    Complex    reciprocal()    {    if    (isNaN)    {    return    NaN;    }    if    (real    ==    0.0    &&    imaginary    ==    0.0)    {            return    NaN;    }    if    (isInfinite)    {    return    ZERO;    }    if    (FastMath.abs(real)    <    FastMath.abs(imaginary))    {    double    q    =    real    /    imaginary;    	return    INF;    	305	replace
140	Closure_73	buggy:    if    (c    >    0x1f    &&    c    <=    0x7f)    {    context:    if    (outputCharsetEncoder.canEncode(c))    {    sb.append(c);    }    else    {    appendHexJavaScriptRepresentation(sb,    c);    }    }    else    {            if    (c    >    0x1f    &&    c    <=    0x7f)    {    sb.append(c);    }    else    {    appendHexJavaScriptRepresentation(sb,    c);    }    }    	if    (c    >    0x1f    &&    c    <    0x7f)    {    	1045	replace
651	Lang_51	buggy:    context:    if    (ch    ==    'y')    {    return    (str.charAt(1)    ==    'e'    ||    str.charAt(1)    ==    'E')    &&    (str.charAt(2)    ==    's'    ||    str.charAt(2)    ==    'S');    }    if    (ch    ==    'Y')    {    return    (str.charAt(1)    ==    'E'    ||    str.charAt(1)    ==    'e')    &&    (str.charAt(2)    ==    'S'    ||    str.charAt(2)    ==    's');    }    }    case    4:    {    char    ch    =    str.charAt(0);    if    (ch    ==    't')    {    return    (str.charAt(1)    ==    'r'    ||    str.charAt(1)    ==    'R')    &&    (str.charAt(2)    ==    'u'    ||    str.charAt(2)    ==    'U')    &&    (str.charAt(3)    ==    'e'    ||    str.charAt(3)    ==    'E');    }    	return    false;    	682	add
794	Time_24	buggy:    context:    saveField(DateTimeFieldType.year(),    iDefaultYear);    return    computeMillis(resetFields,    text);    }    }    long    millis    =    iMillis;    try    {    for    (int    i    =    0;    i    <    count;    i++)    {    millis    =    savedFields[i].set(millis,    resetFields);    }    }    catch    (IllegalFieldValueException    e)    {    if    (text    !=    null)    {    e.prependMessage(   "Cannot    parse    \   "   "    +    text    +    '   "');    }    throw    e;    	if    (resetFields)    {    for    (int    i    =    0;    i    <    count;    i++)    {    millis    =    savedFields[i].set(millis,    i    ==    (count    -    1));    }    }    	355	add
17	Chart_17	buggy:    Object    clone    =    createCopy(0,    getItemCount()    -    1);    context:    public    Object    clone()    throws    CloneNotSupportedException    {            Object    clone    =    createCopy(0,    getItemCount()    -    1);    return    clone;    }    	TimeSeries    clone    =    (TimeSeries)    super.clone();    clone.data    =    (List)    ObjectUtilities.deepClone(this.data);    	857	replace
621	Lang_21	buggy:    cal1.get(Calendar.HOUR)    ==    cal2.get(Calendar.HOUR)    &&    context:    public    static    boolean    isSameLocalTime(Calendar    cal1,    Calendar    cal2)    {    if    (cal1    ==    null    ||    cal2    ==    null)    {    throw    new    IllegalArgumentException(   "The    date    must    not    be    null   ");    }    return    (cal1.get(Calendar.MILLISECOND)    ==    cal2.get(Calendar.MILLISECOND)    &&    cal1.get(Calendar.SECOND)    ==    cal2.get(Calendar.SECOND)    &&    cal1.get(Calendar.MINUTE)    ==    cal2.get(Calendar.MINUTE)    &&            cal1.get(Calendar.HOUR)    ==    cal2.get(Calendar.HOUR)    &&    cal1.get(Calendar.DAY_OF_YEAR)    ==    cal2.get(Calendar.DAY_OF_YEAR)    &&    cal1.get(Calendar.YEAR)    ==    cal2.get(Calendar.YEAR)    &&    cal1.get(Calendar.ERA)    ==    cal2.get(Calendar.ERA)    &&    cal1.getClass()    ==    cal2.getClass());    }    	cal1.get(Calendar.HOUR_OF_DAY)    ==    cal2.get(Calendar.HOUR_OF_DAY)    &&    	265	replace
