bugid	bug	buggy	patch	lineNo	action
1	accumulo_3d55560a	buggy:  return  -1;  if  (count  >  other.count)  context:  }  public  int  compareTo(Key  o)  {  int  compare  =  super.compareTo(o);  if  (compare  !=  0)  return  compare;  if  (o  instanceof  MockMemKey)  {  MockMemKey  other  =  (MockMemKey)  o;  if  (count  <  other.count)    return  -1;      if  (count  >  other.count)  return  1;  }  else  {  return  1;  }  return  0;  }  	if  (count  >  other.count)  return  -1;  	72	replace-2
2	wicket_2d9ebf9a	buggy:  int  firstDigits  =  Integer.parseInt(creditCardNumber.substring(0,  5));  context:  private  CreditCard  isChinaUnionPay(String  creditCardNumber)  {  if  ((creditCardNumber.length()  >=  16  &&  creditCardNumber.length()  <=  19)  &&  (creditCardNumber.startsWith( "622 ")))  {  int  firstDigits  =  Integer.parseInt(creditCardNumber.substring(0,  5));  if  (firstDigits  >=  622126  &&  firstDigits  <=  622925)  {  return  CreditCard.CHINA_UNIONPAY;  }  }  return  CreditCard.INVALID;  }  	int  firstDigits  =  Integer.parseInt(creditCardNumber.substring(0,  6));  	325	replace-1
3	wicket_6cefb9f8	buggy:  if  (behavior.getStatelessHint(component))  context:  }  behavior.bind(component);  }  }  private  void  internalAdd(final  Behavior  behavior)  {  component.data_add(behavior);  if  (behavior.getStatelessHint(component))  {  getBehaviorId(behavior);  }  }  public  <M  extends  Behavior>  List<M>  getBehaviors(Class<M>  type)  {  	if  (behavior.getStatelessHint(component)  ==  false)  	66	replace-1
4	jackrabbit-oak_f4d5bbe1	buggy:  if  (doc.isCommitted(rev))  {  context:  Iterable<Revision>  revs  =  mergeSorted(of(  filter(doc.getLocalCommitRoot().keySet(),  cp),  filter(doc.getLocalRevisions().keySet(),  cp)),  StableRevisionComparator.REVERSE  );  for  (Revision  rev  :  revs)  {  if  (rev.compareRevisionTime(currentLastRev)  >  0)  {      if  (doc.isCommitted(rev))  {  return  rev;  }  }  else  {  break;  	rev  =  doc.getCommitRevision(rev);  if  (rev  !=  null)  {  	292	replace-1
5	wicket_f3d7565c	buggy:  PageParameters  cleanParameters  =  new  PageParameters(originalParameters);  cleanParameters.remove(WebRequest.PARAM_AJAX);  cleanParameters.remove(WebRequest.PARAM_AJAX_BASE_URL);  context:  private  PageParameters  cleanPageParameters(final  PageParameters  originalParameters)  {  PageParameters  cleanParameters  =  new  PageParameters(originalParameters);  //  WICKET-4038:  Ajax  related  parameters  are  set  by  wicket-ajax.js  when  needed.  //  They  shouldn't  be  propagated  to  the  next  requests  cleanParameters.remove(WebRequest.PARAM_AJAX);  cleanParameters.remove(WebRequest.PARAM_AJAX_BASE_URL);  	PageParameters  cleanParameters  =  null;  if  (originalParameters  !=  null)  {  cleanParameters  =  new  PageParameters(originalParameters);  cleanParameters.remove(WebRequest.PARAM_AJAX);  cleanParameters.remove(WebRequest.PARAM_AJAX_BASE_URL);  }  	91	replace-4
6	accumulo_019edb16	buggy:  context:  protected  abstract  static  class  RecordReaderBase<K,V>  extends  AbstractRecordReader<K,V>  {  protected  void  setupIterators(JobConf  job,  Scanner  scanner,  String  tableName,  org.apache.accumulo.core.client.mapred.RangeInputSplit  split)  {  List<IteratorSetting>  iterators  =  null;  if  (null  ==  split)  {  iterators  =  getIterators(job);  }  else  {  iterators  =  split.getIterators();  }  setupIterators(iterators,  scanner);  }  	if  (null  ==  iterators)  {  iterators  =  getIterators(job);  }  	325	add
7	wicket_89184b79	buggy:  if  (page  ==  null)  {  pageParameters  =  null;  }  context:  private  void  resolvePageInstance(Integer  pageId,  Class<?  extends  IRequestablePage>  pageClass,  PageParameters  pageParameters,  Integer  renderCount)  {  IRequestablePage  page  =  null;  boolean  freshCreated  =  false;  if  (pageId  !=  null)  {  page  =  getStoredPage(pageId);  if  (page  ==  null)  {  //  WICKET-4594  -  ignore  the  parsed  parameters  for  stateful  pages  pageParameters  =  null;  }  }  if  (page  ==  null)  {  		262	remove-5
8	wicket_bcea89fc	buggy:  context:  private  void  readObject(final  java.io.ObjectInputStream  s)  throws  IOException,  ClassNotFoundException  {  s.defaultReadObject();  int  numBuckets  =  s.readInt();  table  =  new  Entry[numBuckets];  init();  //  Give  subclass  a  chance  to  do  its  thing.  	modCount  =  new  AtomicInteger(0);    	1148	add
9	jackrabbit-oak_621a5101	buggy:  context:  public  LoginContextProvider  getLoginContextProvider(NodeStore  nodeStore)  {  String  appName  =  configuration.getConfigValue(PARAM_APP_NAME,  DEFAULT_APP_NAME);  Configuration  loginConfig;  try  {  loginConfig  =  Configuration.getConfiguration();  }  catch  (SecurityException  e)  {  log.warn( "Failed  to  retrieve  login  configuration:  using  default. ",  e);  loginConfig  =  new  OakConfiguration();  Configuration.setConfiguration(loginConfig);  }  return  new  LoginContextProviderImpl(appName,  loginConfig,  nodeStore,  this);  }  	if  (loginConfig.getAppConfigurationEntry(appName)  ==  null)  {  log.warn( "Failed  to  retrieve  login  configuration  for  {}:  using  default  configuration. ",  appName);  loginConfig  =  new  OakConfiguration();  Configuration.setConfiguration(loginConfig);  }  	80	add
10	logging-log4j2_a8a24357	buggy:  context:  package  org.apache.log4j;  public  class  PatternLayout  extends  Layout  {  public  String  format(final  LoggingEvent  event)  {  return   " ";  }  	public  PatternLayout(String  pattern)  {    }    	26	add
