bugid	buggy	patch
1	buggy: n = (n ^ (n - 1)); context:  public static int bitcount(int n) { int count = 0; while (n != 0) { n = (n ^ (n - 1)); count++; } return count; } } 	  n = (n & (n - 1));
3	buggy: for (Integer count : arr) { context:  ArrayList<Integer> counts = new ArrayList<Integer>(Collections.nCopies(k,0));  for (Integer x : arr) {  counts.set(x,counts.get(x)+1); }  int i = 0; for (Integer count : arr) { sorted_arr.addAll(Collections.nCopies(count, i)); i++; }	 for (Integer count : counts) {
4	buggy: context: public static boolean depth_first_search(Node startnode, Node goalnode) { Set<Node> nodesvisited = new HashSet<>(); class Search { boolean search(Node node) { if (nodesvisited.contains(node)) { return false; } else if (node == goalnode) { return true; } else { for (Node successornodes : node.getSuccessors()) { if (search(successornodes)) { return true; } } } return false; } }; Search s = new Search(); return s.search(startnode) }	 nodesvisited.add(node); 
5	buggy: if (hare.getSuccessor() == null) context: public static boolean detect_cycle(Node node) { Node hare = node; Node tortoise = node; while (true) { if (hare.getSuccessor() == null) return false; tortoise = tortoise.getSuccessor(); hare = hare.getSuccessor().getSuccessor(); if (hare == tortoise) return true; } }	 if (null == hare ||hare.getSuccessor() == null) 
6	buggy: while (lo  <= hi) { context: public static int find_first_in_sorted(int[] arr, int x) { int lo = 0; int hi = arr.length; while (lo <= hi) { int mid = (lo + hi) / 2;  if (x == arr[mid] && (mid == 0 || x != arr[mid-1])) { return mid; } else if (x <= arr[mid]) { hi = mid; } else { lo = mid + 1; } } return -1; }	 while (lo < hi) {
7	buggy: return binsearch(arr, x, mid, end); context: public static int binsearch(int[] arr, int x, int start, int end) { if (start == end) { return -1; } int mid = start + (end - start) / 2;  if (x < arr[mid]) { return binsearch(arr, x, start, mid); } else if (x > arr[mid]) { return binsearch(arr, x, mid, end); } else { return mid; } }	 return binsearch(arr, x, mid+1, end);
9	buggy: return gcd(a % b, b);  context: public static int gcd(int a, int b) { if (b == 0) { return a; } else { return gcd(a % b, b); } }	 return gcd(b, a%b);
10	buggy: return new ArrayList<Integer>(); context: public static ArrayList<Integer> get_factors(int n) { if (n == 1) { return new ArrayList<Integer>(); } int max = (int)(Math.sqrt(n) + 1.0); for (int i=2; i < max; i++) { if (n % i == 0) { ArrayList<Integer> prepend = new ArrayList<Integer>(0); prepend.add(i); prepend.addAll(get_factors(n / i)); return prepend; } } return new ArrayList<Integer>(); } 	 return new ArrayList<Integer>(Arrays.asList(n));
11	buggy: steps.add(new Pair<Integer,Integer>(start, helper)); context: if (height > 0) { PriorityQueue<Integer> crap_set = new PriorityQueue<Integer>(); crap_set.add(1); crap_set.add(2); crap_set.add(3); crap_set.remove(start); crap_set.remove(end); int helper = crap_set.poll(); steps.addAll(hanoi(height-1, start, helper)); steps.add(new Pair<Integer,Integer>(start, helper)); steps.addAll(hanoi(height-1, helper, end)); }	 steps.add(new Pair<Integer,Integer>(start, end));
12	buggy: return true; context: public static Boolean is_valid_parenthesization(String parens) { int depth = 0; for (int i = 0; i < parens.length(); i++) { Character paren = parens.charAt(i); if (paren.equals('(')) { depth++; } else { depth--; if (depth < 0) { return false; } } } return true; }	 return depth==0;
13	buggy: for (Integer x : arr) { context: public static ArrayList<Integer> kheapsort(ArrayList<Integer> arr, int k) { PriorityQueue<Integer> heap = new PriorityQueue<Integer>(); for (Integer v : arr.subList(0,k)) { heap.add(v); }ArrayList<Integer> output = new ArrayList<Integer>(); for (Integer x : arr) { heap.add(x); Integer popped = heap.poll(); output.add(popped); }while (!heap.isEmpty()) { output.add(heap.poll()); } return output; }	 for (Integer x : arr.subList(k, arr.size())) {
