bugid	buggy	patch
elasticsearch_96a2950ab5136d3e39d33eb510de438eca0839d2	buggy:  if  (tuple.v1().getAsBoolean( "bootstrap.mlockall ",  true))  {  context:  public  class  Bootstrap  {  private  Node  node;  private  static  volatile  Thread  keepAliveThread;  private  static  volatile  CountDownLatch  keepAliveLatch;  private  void  setup(boolean  addShutdownHook,  Tuple<Settings,  Environment>  tuple)  throws  Exception  {          if  (tuple.v1().getAsBoolean( "bootstrap.mlockall ",  true))  {          if  (tuple.v1().getAsBoolean( "bootstrap.mlockall ",  false))  {  Natives.tryMlockall();  }  tuple  =  setupJmx(tuple);  NodeBuilder  nodeBuilder  =  NodeBuilder.nodeBuilder().settings(tuple.v1()).loadConfigSettings(false);  node  =  nodeBuilder.build();  if  (addShutdownHook)  {  Runtime.getRuntime().addShutdownHook(new  Thread()  {  	if  (tuple.v1().getAsBoolean( "bootstrap.mlockall ",  false))  {  
elasticsearch_5f538b1ba39f939e6b596defd333d556295777c6	buggy:  assertThat( "10 ",  is(new  ByteSizeValue(10,  ByteSizeUnit.BYTES).toString()));  context:  }  assertThat(ByteSizeUnit.BYTES.toBytes(10),  is(new  ByteSizeValue(10,  ByteSizeUnit.BYTES).bytes()));  assertThat(ByteSizeUnit.KB.toKB(10),  is(new  ByteSizeValue(10,  ByteSizeUnit.KB).kb()));  assertThat(ByteSizeUnit.MB.toMB(10),  is(new  ByteSizeValue(10,  ByteSizeUnit.MB).mb()));  assertThat(ByteSizeUnit.GB.toGB(10),  is(new  ByteSizeValue(10,  ByteSizeUnit.GB).gb()));  }          assertThat( "10 ",  is(new  ByteSizeValue(10,  ByteSizeUnit.BYTES).toString()));          assertThat( "10b ",  is(new  ByteSizeValue(10,  ByteSizeUnit.BYTES).toString()));  assertThat( "1.5kb ",  is(new  ByteSizeValue((long)  (1024  *  1.5),  ByteSizeUnit.BYTES).toString()));  assertThat( "1.5mb ",  is(new  ByteSizeValue((long)  (1024  *  1.5),  ByteSizeUnit.KB).toString()));  assertThat( "1.5gb ",  is(new  ByteSizeValue((long)  (1024  *  1.5),  ByteSizeUnit.MB).toString()));  assertThat( "1536gb ",  is(new  ByteSizeValue((long)  (1024  *  1.5),  ByteSizeUnit.GB).toString()));  }  }  	assertThat( "10b ",  is(new  ByteSizeValue(10,  ByteSizeUnit.BYTES).toString()));  
elasticsearch_2880cd01720455bcd8fffea23034ec6e8b220bfd	buggy:  public  float  freq()  throws  IOException  {  context:  public  EmptyScorer(Weight  weight)  {  super(weight);  }  public  float  score()  throws  IOException  {  return  0;  }      public  float  freq()  throws  IOException  {      public  int  freq()  throws  IOException  {  return  0;  }  public  int  docID()  {  return  NO_MORE_DOCS;  }  	public  int  freq()  throws  IOException  {  
elasticsearch_1952df982b69873544c00470293ee851697abbf4	buggy:  List<Field>  versionFields  =  new  ArrayList<Field>();  context:  TokenStream  edgeNGramTokenFilter  =  new  EdgeNGramTokenFilterFactory(index,  indexSettings,  name,  settings).create(new  MockTokenizer(new  StringReader(   "foo  bar ")));  assertThat(edgeNGramTokenFilter,  instanceOf(EdgeNGramTokenFilter.class));  }  }  }  private  Version  randomVersion(Random  random)  throws  IllegalArgumentException,  IllegalAccessException  {  Field[]  declaredFields  =  Version.class.getDeclaredFields();          List<Field>  versionFields  =  new  ArrayList<Field>();          List<Field>  versionFields  =  new  ArrayList<>();  for  (Field  field  :  declaredFields)  {  if  ((field.getModifiers()  &  Modifier.STATIC)  !=  0  &&  field.getName().startsWith( "V_ ")  &&  field.getType()  ==  Version.class)  {  versionFields.add(field);  }  }  return  (Version)  versionFields.get(random.nextInt(versionFields.size())).get(Version.class);  }  	List<Field>  versionFields  =  new  ArrayList<>();  
libgdx_dde6ef4fcc094ae67666338a889eace1ec057a92	buggy:  vertices[i]  =  din.readInt();  context:  {  int[]  vertices  =  new  int[numElements];  for(  int  i  =  0;  i  <  numElements;  i++  )  vertices[i]  =  din.readInt();  mesh.setVertices(  vertices  );  }  else  {  float[]  vertices  =  new  float[numElements];  for(  int  i  =  0;  i  <  numElements;  i++  )  vertices[i]  =  din.readInt();  vertices[i]  =  din.readFloat();  mesh.setVertices(  vertices  );  }  if(  numIndices  >  0  )  {  short[]  indices  =  new  short[numIndices];  for(  int  i  =  0;  i  <  numIndices;  i++  )  indices[i]  =  din.readShort();  	vertices[i]  =  din.readFloat();  
elasticsearch_cdc7dfbb2c33c3b243837b39c6a63c271a99940f	buggy:  }  else  if  ( "script_lang ".equals(currentFieldName)  ||   "scriptLang ".equals(currentFieldName))  {  context:  XContentParser.Token  token;  String  currentFieldName  =  null;  while  ((token  =  parser.nextToken())  !=  XContentParser.Token.END_OBJECT)  {  if  (token  ==  XContentParser.Token.FIELD_NAME)  {  currentFieldName  =  parser.currentName();  }  else  if  (token  ==  XContentParser.Token.VALUE_STRING)  {  if  ( "field ".equals(currentFieldName))  {  field  =  parser.text();  }  else  if  ( "script ".equals(currentFieldName))  {  script  =  parser.text();                  }  else  if  ( "script_lang ".equals(currentFieldName)  ||   "scriptLang ".equals(currentFieldName))  {                  }  else  if  ( "lang ".equals(currentFieldName))  {  scriptLang  =  parser.text();  }  }  else  if  (token  ==  XContentParser.Token.START_ARRAY)  {  if  ( "ranges ".equals(currentFieldName))  {  ranges  =  new  ArrayList<RangeAggregator.Range>();  while  ((token  =  parser.nextToken())  !=  XContentParser.Token.END_ARRAY)  {  double  from  =  Double.NEGATIVE_INFINITY;  String  fromAsStr  =  null;  	}  else  if  ( "lang ".equals(currentFieldName))  {  
libgdx_31b2d5da1ebdbef04c36296d92643b718917c7aa	buggy:  GL20  gl  =  Gdx.graphics.getGL20();  context:  final  Vector2  tmpV  =  new  Vector2();  final  Vector2  tmpV2  =  new  Vector2();  final  Vector2  tmpV3  =  new  Vector2();  final  Vector2  tmpV4  =  new  Vector2();  float  pathLength;  float  avg_speed;  public  void  render  ()  {  GL20  gl  =  Gdx.graphics.getGL20();  GL20  gl  =  Gdx.gl20;  gl.glClearColor(0.7f,  0.7f,  0.7f,  1);  gl.glClear(GL20.GL_COLOR_BUFFER_BIT);  if  (wait  >  0)  wait  -=  Gdx.graphics.getDeltaTime();  else  {  t  +=  speed  *  Gdx.graphics.getDeltaTime();  zt  +=  zspeed  *  Gdx.graphics.getDeltaTime();  	GL20  gl  =  Gdx.gl20;  
elasticsearch_df7474b9fcf849bbfea4222c1d2aa58b6669e52a	buggy:  ClusterState  clusterState  =  ClusterState.builder().metaData(metaData).routingTable(routingTable).build();  context:  MetaData  metaData  =  MetaData.builder()  .put(IndexMetaData.builder( "test ").numberOfShards(10).numberOfReplicas(1))  .build();  RoutingTable  routingTable  =  RoutingTable.builder()  .addAsNew(metaData.index( "test "))  .build();          ClusterState  clusterState  =  ClusterState.builder().metaData(metaData).routingTable(routingTable).build();          ClusterState  clusterState  =  ClusterState.builder(org.elasticsearch.cluster.ClusterName.DEFAULT).metaData(metaData).routingTable(routingTable).build();  assertThat(routingTable.index( "test ").shards().size(),  equalTo(10));  for  (int  i  =  0;  i  <  routingTable.index( "test ").shards().size();  i++)  {  assertThat(routingTable.index( "test ").shard(i).size(),  equalTo(2));  assertThat(routingTable.index( "test ").shard(i).shards().size(),  equalTo(2));  assertThat(routingTable.index( "test ").shard(i).shards().get(0).state(),  equalTo(UNASSIGNED));  assertThat(routingTable.index( "test ").shard(i).shards().get(1).state(),  equalTo(UNASSIGNED));  assertThat(routingTable.index( "test ").shard(i).shards().get(0).currentNodeId(),  nullValue());  	ClusterState  clusterState  =  ClusterState.builder(org.elasticsearch.cluster.ClusterName.DEFAULT).metaData(metaData).routingTable(routingTable).build();  
elasticsearch_942b427940f8dbc3695e391e2912969ded5625d8	buggy:  mdBuilder.put(indexMetaData);  context:  MetaData.Builder  mdBuilder  =  newMetaDataBuilder();  if  (request.filteredIndices().length  ==  0  &&  request.filteredIndexTemplates().length  ==  0)  {  mdBuilder.metaData(currentState.metaData());  }  if  (request.filteredIndices().length  >  0)  {  String[]  indices  =  currentState.metaData().concreteIndicesIgnoreMissing(request.filteredIndices());  for  (String  filteredIndex  :  indices)  {  IndexMetaData  indexMetaData  =  currentState.metaData().index(filteredIndex);  if  (indexMetaData  !=  null)  {                          mdBuilder.put(indexMetaData);                          mdBuilder.put(indexMetaData,  false);  }  }  }  if  (request.filteredIndexTemplates().length  >  0)  {  for  (String  templateName  :  request.filteredIndexTemplates())  {  IndexTemplateMetaData  indexTemplateMetaData  =  currentState.metaData().templates().get(templateName);  if  (indexTemplateMetaData  !=  null)  {  	mdBuilder.put(indexMetaData,  false);  
libgdx_316757eba548254ac303543fa185b5860230e98d	buggy:  android.linkerFlags  +=   "  -lGLESv2 ";  context:  win32home.cppExcludes  =  excludeCpp;  BuildTarget  win32  =  BuildTarget.newDefaultTarget(TargetOs.Windows,  false);  win32.cppExcludes  =  excludeCpp;  BuildTarget  win64  =  BuildTarget.newDefaultTarget(TargetOs.Windows,  true);  win64.cppExcludes  =  excludeCpp;  BuildTarget  lin32  =  BuildTarget.newDefaultTarget(TargetOs.Linux,  false);  lin32.cppExcludes  =  excludeCpp;  BuildTarget  lin64  =  BuildTarget.newDefaultTarget(TargetOs.Linux,  true);  lin64.cppExcludes  =  excludeCpp;  BuildTarget  android  =  BuildTarget.newDefaultTarget(TargetOs.Android,  false);  android.linkerFlags  +=   "  -lGLESv2 ";  android.linkerFlags  +=   "  -lGLESv2  -llog ";  BuildTarget  mac  =  BuildTarget.newDefaultTarget(TargetOs.MacOsX,  false);  mac.cppExcludes  =  excludeCpp;  BuildTarget  ios  =  BuildTarget.newDefaultTarget(TargetOs.IOS,  false);  ios.cppExcludes  =  excludeCpp;  new  AntScriptGenerator().generate(new  BuildConfig( "gdx ",   "../target/native ",  LIBS_DIR,  JNI_DIR),  mac,  win32home,  win32,  win64,  lin32,  lin64,  android,  ios);  	android.linkerFlags  +=   "  -lGLESv2  -llog ";  
